NRC,id_aula,url
2744,33712,https://platform.ecala.net/course/view.php?id=33712
2745,33635,https://platform.ecala.net/course/view.php?id=33635
2720,32947,https://platform.ecala.net/course/view.php?id=32947
2719,32411,https://platform.ecala.net/course/view.php?id=32411
2721,33133,https://platform.ecala.net/course/view.php?id=33133
2716,33699,https://platform.ecala.net/course/view.php?id=33699
2728,33636,https://platform.ecala.net/course/view.php?id=33636
4885,37588,https://platform.ecala.net/course/view.php?id=37588
2729,32827,https://platform.ecala.net/course/view.php?id=32827
2727,33327,https://platform.ecala.net/course/view.php?id=33327
2723,32703,https://platform.ecala.net/course/view.php?id=32703
4886,37589,https://platform.ecala.net/course/view.php?id=37589
2725,33131,https://platform.ecala.net/course/view.php?id=33131
4847,37516,https://platform.ecala.net/course/view.php?id=37516
2767,33976,https://platform.ecala.net/course/view.php?id=33976
2792,33859,https://platform.ecala.net/course/view.php?id=33859
4407,36045,https://platform.ecala.net/course/view.php?id=36045
4406,36044,https://platform.ecala.net/course/view.php?id=36044
4866,37534,https://platform.ecala.net/course/view.php?id=37534
4865,37533,https://platform.ecala.net/course/view.php?id=37533
4864,37532,https://platform.ecala.net/course/view.php?id=37532
4849,37518,https://platform.ecala.net/course/view.php?id=37518
4565,36506,https://platform.ecala.net/course/view.php?id=36506
4564,36505,https://platform.ecala.net/course/view.php?id=36505
4122,35185,https://platform.ecala.net/course/view.php?id=35185
4563,36504,https://platform.ecala.net/course/view.php?id=36504
4560,36501,https://platform.ecala.net/course/view.php?id=36501
4562,36503,https://platform.ecala.net/course/view.php?id=36503
3840,33931,https://platform.ecala.net/course/view.php?id=33931
3913,33847,https://platform.ecala.net/course/view.php?id=33847
3885,33723,https://platform.ecala.net/course/view.php?id=33723
3942,33547,https://platform.ecala.net/course/view.php?id=33547
3891,33546,https://platform.ecala.net/course/view.php?id=33546
4060,34022,https://platform.ecala.net/course/view.php?id=34022
3986,33823,https://platform.ecala.net/course/view.php?id=33823
